data	mut	pop	len	ind	ploidy	rep	method	rf	time	core	score_reconstructed	score_true
M201	5.00E-08	1.00E+05	5.00E+06	1	1	7	CASTER-pair	0	4002.77	32	6.95913E+14	6.95913E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	8	CASTER-pair	2	3714.056	32	6.68911E+14	6.68911E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	9	CASTER-pair	1	3093.325	32	5.60449E+14	5.60449E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	10	CASTER-pair	1	3782.243	32	6.48633E+14	6.48633E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	11	CASTER-pair	0	4114.418	32	6.84314E+14	6.84314E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	12	CASTER-pair	1	3969.277	32	7.01421E+14	7.01421E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	13	CASTER-pair	3	3488.764	32	6.17706E+14	6.17706E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	14	CASTER-pair	1	4043.863	32	6.8302E+14	6.8302E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	15	CASTER-pair	2	4246.436	32	7.3945E+14	7.3945E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	16	CASTER-pair	0	3866.27	32	6.69339E+14	6.69339E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	17	CASTER-pair	0	5597.885	32	7.36522E+14	7.36522E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	18	CASTER-pair	5	4007.355	32	6.84458E+14	6.84458E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	19	CASTER-pair	0	4071.276	32	7.22225E+14	7.22225E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	20	CASTER-pair	1	3745.126	32	6.86279E+14	6.86279E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	21	CASTER-pair	1	3812.263	32	6.95878E+14	6.95878E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	22	CASTER-pair	0	3844.176	32	6.98864E+14	6.98864E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	23	CASTER-pair	3	3927.454	32	6.88356E+14	6.88356E+14
M201	5.00E-08	1.00E+05	5.00E+06	1	1	24	CASTER-pair	0	1274.554	32	3.6638E+14	3.6638E+14
