data	mut	pop	len	ind	ploidy	rep	method	rf	time	core
M201	5.00E-08	1.00E+05	5.00E+06	1	2	1	RAxML-ng	2	71686.436	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	2	RAxML-ng	0	53487.4	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	3	RAxML-ng	1	77388.971	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	4	RAxML-ng	2	64833.916	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	5	RAxML-ng	1	112499.275	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	6	RAxML-ng	4	85480.044	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	7	RAxML-ng	0	104357.306	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	8	RAxML-ng	3	66338.838	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	9	RAxML-ng	1	65095.357	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	10	RAxML-ng	2	86162.617	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	11	RAxML-ng	1	71676.609	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	12	RAxML-ng	0	80775.771	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	13	RAxML-ng	4	82309.338	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	14	RAxML-ng	1	87222.96	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	15	RAxML-ng	1	85446.662	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	16	RAxML-ng	0	73367.72	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	17	RAxML-ng	1	109354.866	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	18	RAxML-ng	4	83276.014	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	19	RAxML-ng	3	76074.313	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	20	RAxML-ng	0	88051.628	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	21	RAxML-ng	1	64947.697	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	22	RAxML-ng	1	80776.224	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	23	RAxML-ng	3	64452.007	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	24	RAxML-ng	1	52355.119	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	25	RAxML-ng	3	70028.035	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	26	RAxML-ng	2	80046.616	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	27	RAxML-ng	1	52665.366	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	28	RAxML-ng	0	91324.962	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	29	RAxML-ng	1	67348.743	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	30	RAxML-ng	1	86311.97	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	31	RAxML-ng	0	79992.825	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	32	RAxML-ng	1	111533.659	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	33	RAxML-ng	3	88971.369	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	34	RAxML-ng	2	88626.303	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	35	RAxML-ng	3	99428.072	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	36	RAxML-ng	1	72875.477	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	37	RAxML-ng	3	75141.669	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	38	RAxML-ng	1	86299.638	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	39	RAxML-ng	0	76547.04	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	40	RAxML-ng	1	78281.551	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	41	RAxML-ng	0	84955.813	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	42	RAxML-ng	3	64160.797	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	43	RAxML-ng	4	92219.261	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	44	RAxML-ng	3	47660.837	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	45	RAxML-ng	0	57876.117	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	46	RAxML-ng	0	85681.221	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	47	RAxML-ng	0	76383.18	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	48	RAxML-ng	1	74572.998	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	49	RAxML-ng	0	89707.071	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	50	RAxML-ng	1	62201.286	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	1	CASTER-pair	2	3644.381	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	2	CASTER-pair	1	3899.544	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	3	CASTER-pair	3	3556.428	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	4	CASTER-pair	1	3542.722	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	5	CASTER-pair	0	4289.458	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	6	CASTER-pair	3	4156.287	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	7	CASTER-pair	0	4002.77	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	8	CASTER-pair	2	3714.056	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	9	CASTER-pair	1	3093.325	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	10	CASTER-pair	1	3782.243	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	11	CASTER-pair	0	4114.418	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	12	CASTER-pair	1	3969.277	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	13	CASTER-pair	3	3488.764	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	14	CASTER-pair	1	4043.863	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	15	CASTER-pair	2	4246.436	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	16	CASTER-pair	0	3866.27	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	17	CASTER-pair	0	5597.885	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	18	CASTER-pair	5	4007.355	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	19	CASTER-pair	0	4071.276	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	20	CASTER-pair	1	3745.126	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	21	CASTER-pair	1	3812.263	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	22	CASTER-pair	0	3844.176	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	23	CASTER-pair	3	3927.454	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	24	CASTER-pair	0	1274.554	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	25	CASTER-pair	1	4025.611	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	26	CASTER-pair	2	3765.004	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	27	CASTER-pair	1	1046.365	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	28	CASTER-pair	0	4673.71	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	29	CASTER-pair	3	4254.751	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	30	CASTER-pair	2	3755.07	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	31	CASTER-pair	0	4059.655	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	32	CASTER-pair	0	4426.454	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	33	CASTER-pair	2	3846.834	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	34	CASTER-pair	1	4187.685	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	35	CASTER-pair	2	5126.733	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	36	CASTER-pair	1	4516.606	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	37	CASTER-pair	2	2989.277	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	38	CASTER-pair	2	4030.933	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	39	CASTER-pair	1	4236.351	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	40	CASTER-pair	1	4185.518	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	41	CASTER-pair	2	4015.978	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	42	CASTER-pair	1	3369.757	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	43	CASTER-pair	3	4019.213	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	44	CASTER-pair	2	2357.304	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	45	CASTER-pair	0	2947.895	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	46	CASTER-pair	0	4494.044	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	47	CASTER-pair	0	3929.006	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	48	CASTER-pair	1	3875.946	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	49	CASTER-pair	0	4312.364	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	50	CASTER-pair	2	1694.744	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	1	SVDQuartets	0	17120	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	2	SVDQuartets	0	16187	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	3	SVDQuartets	1	13065	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	4	SVDQuartets	0	15124	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	5	SVDQuartets	0	13919	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	6	SVDQuartets	1	11860	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	7	SVDQuartets	0	15736	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	8	SVDQuartets	0	10686	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	9	SVDQuartets	1	12828	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	10	SVDQuartets	0	13335	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	11	SVDQuartets	1	9924	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	12	SVDQuartets	0	12930	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	13	SVDQuartets	0	12121	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	14	SVDQuartets	1	10352	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	15	SVDQuartets	0	18782	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	16	SVDQuartets	0	12530	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	17	SVDQuartets	1	11863	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	18	SVDQuartets	2	9917	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	19	SVDQuartets	0	11749	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	20	SVDQuartets	0	10262	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	21	SVDQuartets	1	12879	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	22	SVDQuartets	0	16651	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	23	SVDQuartets	1	13534	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	24	SVDQuartets	0	9706	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	25	SVDQuartets	0	8630	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	26	SVDQuartets	0	11265	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	27	SVDQuartets	2	16993	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	28	SVDQuartets	0	11510	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	29	SVDQuartets	0	16516	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	30	SVDQuartets	2	10316	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	31	SVDQuartets	0	19373	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	32	SVDQuartets	1	11446	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	33	SVDQuartets	0	17164	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	34	SVDQuartets	1	12727	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	35	SVDQuartets	1	12240	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	36	SVDQuartets	1	12409	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	37	SVDQuartets	0	10072	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	38	SVDQuartets	0	14062	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	39	SVDQuartets	1	15815	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	40	SVDQuartets	0	10117	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	41	SVDQuartets	2	10818	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	42	SVDQuartets	1	11333	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	43	SVDQuartets	0	17788	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	44	SVDQuartets	0	12191	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	45	SVDQuartets	0	11572	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	46	SVDQuartets	0	16467	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	47	SVDQuartets	1	11807	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	48	SVDQuartets	0	13022	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	49	SVDQuartets	1	19639	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	50	SVDQuartets	0	17517	64
M21	5.00E-08	1.00E+05	5.00E+06	20	1	1	CASTER-site	0	75.292	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	2	CASTER-site	0	81.58	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	3	CASTER-site	1	87.581	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	4	CASTER-site	0	87.638	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	5	CASTER-site	0	87.629	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	6	CASTER-site	1	69.848	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	7	CASTER-site	0	82.409	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	8	CASTER-site	0	82.151	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	9	CASTER-site	1	83.851	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	10	CASTER-site	0	83.033	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	11	CASTER-site	0	78.483	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	12	CASTER-site	0	82.78	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	13	CASTER-site	0	85.061	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	14	CASTER-site	1	85.162	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	15	CASTER-site	0	82.433	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	16	CASTER-site	0	83.956	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	17	CASTER-site	1	82.691	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	18	CASTER-site	1	92.426	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	19	CASTER-site	0	88.964	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	20	CASTER-site	0	69.17	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	21	CASTER-site	1	81.192	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	22	CASTER-site	0	75.587	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	23	CASTER-site	1	87.568	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	24	CASTER-site	0	74.852	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	25	CASTER-site	0	79.917	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	26	CASTER-site	0	84.254	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	27	CASTER-site	0	88.801	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	28	CASTER-site	0	81.075	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	29	CASTER-site	1	82.037	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	30	CASTER-site	0	79.137	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	31	CASTER-site	0	85.935	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	32	CASTER-site	0	84.819	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	33	CASTER-site	0	85.678	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	34	CASTER-site	0	80.199	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	35	CASTER-site	1	85.14	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	36	CASTER-site	0	85.083	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	37	CASTER-site	0	69.172	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	38	CASTER-site	0	82.1	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	39	CASTER-site	1	84.094	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	40	CASTER-site	0	80.341	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	41	CASTER-site	0	77.63	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	42	CASTER-site	0	74.152	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	43	CASTER-site	0	93.274	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	44	CASTER-site	0	90.825	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	45	CASTER-site	0	84.453	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	46	CASTER-site	0	83.192	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	47	CASTER-site	1	81.638	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	48	CASTER-site	0	85.093	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	49	CASTER-site	0	86.264	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	50	CASTER-site	0	84.722	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	1	CASTER-pair	0	151.016	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	2	CASTER-pair	0	151.922	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	3	CASTER-pair	0	173.371	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	4	CASTER-pair	0	169.111	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	5	CASTER-pair	3	170.493	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	6	CASTER-pair	0	123.895	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	7	CASTER-pair	0	149.85	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	8	CASTER-pair	0	168.138	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	9	CASTER-pair	1	165.394	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	10	CASTER-pair	0	178.834	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	11	CASTER-pair	1	147.664	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	12	CASTER-pair	0	164.572	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	13	CASTER-pair	0	162.34	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	14	CASTER-pair	2	174.947	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	15	CASTER-pair	0	161.224	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	16	CASTER-pair	0	161.337	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	17	CASTER-pair	1	160.652	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	18	CASTER-pair	2	170.998	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	19	CASTER-pair	1	186.855	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	20	CASTER-pair	0	122.635	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	21	CASTER-pair	0	161.434	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	22	CASTER-pair	0	144.556	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	23	CASTER-pair	1	169.582	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	24	CASTER-pair	0	137.284	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	25	CASTER-pair	0	150.424	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	26	CASTER-pair	0	160.889	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	27	CASTER-pair	1	160.387	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	28	CASTER-pair	0	147.838	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	29	CASTER-pair	3	160.403	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	30	CASTER-pair	0	161.22	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	31	CASTER-pair	1	185.521	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	32	CASTER-pair	1	179.527	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	33	CASTER-pair	0	168.456	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	34	CASTER-pair	1	141.197	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	35	CASTER-pair	1	159.053	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	36	CASTER-pair	0	164.895	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	37	CASTER-pair	2	121.907	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	38	CASTER-pair	0	153.918	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	39	CASTER-pair	2	170.698	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	40	CASTER-pair	0	144.943	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	41	CASTER-pair	0	142.269	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	42	CASTER-pair	1	139.947	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	43	CASTER-pair	0	186.689	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	44	CASTER-pair	0	184.45	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	45	CASTER-pair	1	167.9	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	46	CASTER-pair	0	164.591	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	47	CASTER-pair	0	141.639	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	48	CASTER-pair	1	202.164	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	49	CASTER-pair	1	159.752	32
M21	5.00E-08	1.00E+05	5.00E+06	20	1	50	CASTER-pair	0	166.867	32
M201	5.00E-09	1.00E+05	5.00E+06	1	1	1	RAxML-ng	1	407.206	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	2	RAxML-ng	3	239.481	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	3	RAxML-ng	5	411.435	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	4	RAxML-ng	5	401.788	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	5	RAxML-ng	2	578.821	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	6	RAxML-ng	7	740.014	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	7	RAxML-ng	1	387.887	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	8	RAxML-ng	4	325.785	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	9	RAxML-ng	4	393.892	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	10	RAxML-ng	5	316.706	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	11	RAxML-ng	2	308.298	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	12	RAxML-ng	5	270.305	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	13	RAxML-ng	4	466.082	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	14	RAxML-ng	4	352.095	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	15	RAxML-ng	4	260.272	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	16	RAxML-ng	5	313.433	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	17	RAxML-ng	2	470.915	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	18	RAxML-ng	6	411.11	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	19	RAxML-ng	4	411.784	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	20	RAxML-ng	3	734.518	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	21	RAxML-ng	3	476.262	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	22	RAxML-ng	0	302.611	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	23	RAxML-ng	5	462.229	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	24	RAxML-ng	4	399.947	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	25	RAxML-ng	4	414.611	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	26	RAxML-ng	3	369.946	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	27	RAxML-ng	5	613.901	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	28	RAxML-ng	2	302.409	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	29	RAxML-ng	6	324.203	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	30	RAxML-ng	3	469.43	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	31	RAxML-ng	1	232.029	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	32	RAxML-ng	2	431.618	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	33	RAxML-ng	4	503.141	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	34	RAxML-ng	2	339.384	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	35	RAxML-ng	3	321.376	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	36	RAxML-ng	2	461.922	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	37	RAxML-ng	3	352.725	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	38	RAxML-ng	3	507.258	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	39	RAxML-ng	3	292.767	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	40	RAxML-ng	4	341.206	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	41	RAxML-ng	4	275.78	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	42	RAxML-ng	4	398.248	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	43	RAxML-ng	4	470.027	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	44	RAxML-ng	2	416.077	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	45	RAxML-ng	0	244.195	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	46	RAxML-ng	2	397.023	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	47	RAxML-ng	5	288.863	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	48	RAxML-ng	2	435.651	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	49	RAxML-ng	4	336.865	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	50	RAxML-ng	4	293.134	64
M201	5.00E-09	1.00E+05	5.00E+06	1	1	1	CASTER-site	5	152.395	32
M201	5.00E-09	1.00E+05	5.00E+06	1	1	2	CASTER-site	3	94.84	32
M201	5.00E-09	1.00E+05	5.00E+06	1	1	3	CASTER-site	6	158.482	32
