data	mut	pop	len	ind	ploidy	rep	method	rf	time	core
M201	5.00E-08	1.00E+05	5.00E+06	1	1	20	RAxML-ng	0	19211.016	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	21	RAxML-ng	3	15646.296	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	22	RAxML-ng	1	14231.92	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	23	RAxML-ng	4	17308.867	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	24	RAxML-ng	1	11395.524	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	25	RAxML-ng	3	15031.709	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	26	RAxML-ng	2	16185.752	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	27	RAxML-ng	3	9529.294	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	28	RAxML-ng	2	17789.532	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	29	RAxML-ng	5	14982.883	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	30	RAxML-ng	3	17920.628	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	31	RAxML-ng	1	15420.067	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	32	RAxML-ng	0	18129.585	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	33	RAxML-ng	5	17379.687	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	34	RAxML-ng	2	16721.455	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	35	RAxML-ng	3	18200.638	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	36	RAxML-ng	2	19551.253	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	37	RAxML-ng	3	12728.734	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	38	RAxML-ng	2	17402.245	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	39	RAxML-ng	0	15129.168	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	40	RAxML-ng	3	16460.05	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	41	RAxML-ng	4	16580.66	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	42	RAxML-ng	4	12758.032	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	43	RAxML-ng	3	14481.051	64
