case	mut	top	len	rep	method	rf
hard	2X	AB|CD	2	23	CASTER-pair	0
hard	2X	AB|CD	2	24	CASTER-pair	1
hard	2X	AB|CD	2	25	CASTER-pair	0
hard	2X	AB|CD	2	26	CASTER-pair	0
hard	2X	AB|CD	2	27	CASTER-pair	0
hard	2X	AB|CD	2	28	CASTER-pair	0
hard	2X	AB|CD	2	29	CASTER-pair	0
hard	2X	AB|CD	2	30	CASTER-pair	1
hard	2X	AB|CD	2	31	CASTER-pair	0
hard	2X	AB|CD	2	32	CASTER-pair	1
hard	2X	AB|CD	2	33	CASTER-pair	0
hard	2X	AB|CD	2	34	CASTER-pair	0
hard	2X	AB|CD	2	35	CASTER-pair	1
hard	2X	AB|CD	2	36	CASTER-pair	0
hard	2X	AB|CD	2	37	CASTER-pair	1
hard	2X	AB|CD	2	38	CASTER-pair	0
hard	2X	AB|CD	2	39	CASTER-pair	0
hard	2X	AB|CD	2	40	CASTER-pair	0
hard	2X	AB|CD	2	41	CASTER-pair	0
hard	2X	AB|CD	2	42	CASTER-pair	0
hard	2X	AB|CD	2	43	CASTER-pair	0
hard	2X	AB|CD	2	44	CASTER-pair	0
hard	2X	AB|CD	2	45	CASTER-pair	0
hard	2X	AB|CD	2	46	CASTER-pair	0
hard	2X	AB|CD	2	47	CASTER-pair	0
hard	2X	AB|CD	2	48	CASTER-pair	0
hard	2X	AB|CD	2	49	CASTER-pair	1
hard	2X	AB|CD	2	50	CASTER-pair	1
hard	2X	AB|CD	2	51	CASTER-pair	0
hard	2X	AB|CD	2	52	CASTER-pair	0
hard	2X	AB|CD	2	53	CASTER-pair	0
hard	2X	AB|CD	2	54	CASTER-pair	0
hard	2X	AB|CD	2	55	CASTER-pair	0
hard	2X	AB|CD	2	56	CASTER-pair	0
hard	2X	AB|CD	2	57	CASTER-pair	0
hard	2X	AB|CD	2	58	CASTER-pair	0
hard	2X	AB|CD	2	59	CASTER-pair	0
hard	2X	AB|CD	2	60	CASTER-pair	1
hard	2X	AB|CD	2	61	CASTER-pair	1
hard	2X	AB|CD	2	62	CASTER-pair	0
hard	2X	AB|CD	2	63	CASTER-pair	0
hard	2X	AB|CD	2	64	CASTER-pair	1
hard	2X	AB|CD	2	65	CASTER-pair	0
hard	2X	AB|CD	2	66	CASTER-pair	0
hard	2X	AB|CD	2	67	CASTER-pair	0
hard	2X	AB|CD	2	68	CASTER-pair	0
hard	2X	AB|CD	2	69	CASTER-pair	0
