mut	method	top	rep	AB|CD	AC|BD	BC|AD
0.5X	CASTER-site	AB|CD	90	74.1326	54.3914	58.8401
0.5X	CASTER-site	AB|CD	91	74.2788	55.0863	58.6437
0.5X	CASTER-site	AB|CD	92	76.2715	54.3219	55.7604
0.5X	CASTER-site	AB|CD	93	76.9883	57.0122	54.7345
0.5X	CASTER-site	AB|CD	94	77.832	51.1393	56.9699
0.5X	CASTER-site	AB|CD	95	72.4777	58.667	57.4023
0.5X	CASTER-site	AB|CD	96	77.5593	56.8862	52.6775
0.5X	CASTER-site	AB|CD	97	73.8547	56.629	56.2042
0.5X	CASTER-site	AB|CD	98	72.4075	51.1962	55.1584
0.5X	CASTER-site	AB|CD	99	71.5528	52.9972	56.8648
0.5X	CASTER-site	AB|CD	100	75.6169	56.2371	52.9227
0.5X	CASTER-site	AC|BD	1	58.3412	72.6971	58.686
0.5X	CASTER-site	AC|BD	2	55.4714	77.5503	57.8337
0.5X	CASTER-site	AC|BD	3	53.095	78.3477	54.6587
0.5X	CASTER-site	AC|BD	4	56.1975	73.1218	56.9513
0.5X	CASTER-site	AC|BD	5	56.9399	73.0685	54.2354
0.5X	CASTER-site	AC|BD	6	57.1386	76.9395	58.7458
0.5X	CASTER-site	AC|BD	7	59.3757	74.6754	54.5286
0.5X	CASTER-site	AC|BD	8	54.5266	76.0269	52.7259
0.5X	CASTER-site	AC|BD	9	56.3439	75.5809	51.3142
0.5X	CASTER-site	AC|BD	10	55.8977	75.0657	58.2344
0.5X	CASTER-site	AC|BD	11	53.9956	70.1006	59.4168
0.5X	CASTER-site	AC|BD	12	52.6314	75.5302	55.924
0.5X	CASTER-site	AC|BD	13	56.4194	75.8443	54.4801
0.5X	CASTER-site	AC|BD	14	55.998	74.2125	53.9148
0.5X	CASTER-site	AC|BD	15	59.1271	75.8125	53.8743
0.5X	CASTER-site	AC|BD	16	56.8957	71.8085	59.8063
0.5X	CASTER-site	AC|BD	17	58.669	76.2467	55.2399
0.5X	CASTER-site	AC|BD	18	56.8596	77.819	54.3707
0.5X	CASTER-site	AC|BD	19	53.6099	75.824	58.3546
0.5X	CASTER-site	AC|BD	20	55.1686	73.6617	52.3921
0.5X	CASTER-site	AC|BD	21	56.9567	72.5164	54.0751
0.5X	CASTER-site	AC|BD	22	53.6669	76.903	51.5311
0.5X	CASTER-site	AC|BD	23	54.6174	74.6908	54.5647
0.5X	CASTER-site	AC|BD	24	56.6104	74.8782	52.6426
0.5X	CASTER-site	AC|BD	25	56.7451	72.1436	55.658
0.5X	CASTER-site	AC|BD	26	57.502	74.1085	54.2384
0.5X	CASTER-site	AC|BD	27	54.9084	75.0423	56.5885
0.5X	CASTER-site	AC|BD	28	56.1922	76.4919	54.1723
0.5X	CASTER-site	AC|BD	29	54.1227	77.6831	59.3462
0.5X	CASTER-site	AC|BD	30	55.35	73.4556	58.8054
0.5X	CASTER-site	AC|BD	31	55.2864	78.4135	58.6257
0.5X	CASTER-site	AC|BD	32	55.0535	74.3971	55.2731
0.5X	CASTER-site	AC|BD	33	55.1419	73.9201	55.6177
0.5X	CASTER-site	AC|BD	34	54.8038	78.9279	54.9787
0.5X	CASTER-site	AC|BD	35	54.5351	75.3664	55.4066
0.5X	CASTER-site	AC|BD	36	55.7991	76.0321	56.9526
0.5X	CASTER-site	AC|BD	37	55.1873	77.1592	59.0419
0.5X	CASTER-site	AC|BD	38	56.1532	71.2564	53.4427
0.5X	CASTER-site	AC|BD	39	61.6658	74.8477	53.916
0.5X	CASTER-site	AC|BD	40	55.5642	74.2627	56.0092
0.5X	CASTER-site	AC|BD	41	57.1777	75.0316	58.219
0.5X	CASTER-site	AC|BD	42	55.0352	74.42	54.6812
0.5X	CASTER-site	AC|BD	43	57.1314	74.1698	57.538
0.5X	CASTER-site	AC|BD	44	54.4407	68.4333	57.423
0.5X	CASTER-site	AC|BD	45	55.8902	74.7774	59.9101
0.5X	CASTER-site	AC|BD	46	56.7846	73.9941	52.8947
0.5X	CASTER-site	AC|BD	47	53.8823	76.8033	58.1766
0.5X	CASTER-site	AC|BD	48	54.4232	77.5599	53.6913
0.5X	CASTER-site	AC|BD	49	57.17	74.8742	56.3725
0.5X	CASTER-site	AC|BD	50	57.137	71.859	53.6821
0.5X	CASTER-site	AC|BD	51	56.8693	73.4607	56.1344
0.5X	CASTER-site	AC|BD	52	55.479	71.6946	53.0731
0.5X	CASTER-site	AC|BD	53	57.2598	73.859	52.7658
0.5X	CASTER-site	AC|BD	54	55.4139	71.9104	57.247
0.5X	CASTER-site	AC|BD	55	57.9676	69.0304	54.4233
0.5X	CASTER-site	AC|BD	56	56.578	70.2274	57.3804
0.5X	CASTER-site	AC|BD	57	55.5499	75.4804	55.3777
0.5X	CASTER-site	AC|BD	58	52.3732	75.2916	54.5069
0.5X	CASTER-site	AC|BD	59	52.8887	76.0283	55.5338
0.5X	CASTER-site	AC|BD	60	57.8756	72.7213	53.7641
0.5X	CASTER-site	AC|BD	61	53.8739	75.5275	57.9447
0.5X	CASTER-site	AC|BD	62	56.7856	71.3185	55.8488
0.5X	CASTER-site	AC|BD	63	52.6588	73.1415	54.483
0.5X	CASTER-site	AC|BD	64	54.4311	73.4757	54.089
0.5X	CASTER-site	AC|BD	65	55.8478	75.4888	54.6153
0.5X	CASTER-site	AC|BD	66	57.0047	74.1232	57.8906
0.5X	CASTER-site	AC|BD	67	55.8823	70.5658	51.5333
0.5X	CASTER-site	AC|BD	68	55.5897	73.3805	51.7689
0.5X	CASTER-site	AC|BD	69	57.9875	75.1462	54.4607
0.5X	CASTER-site	AC|BD	70	57.2225	72.3664	54.7541
0.5X	CASTER-site	AC|BD	71	56.2798	71.1435	54.7544
0.5X	CASTER-site	AC|BD	72	55.1327	75.7881	56.1576
0.5X	CASTER-site	AC|BD	73	52.3172	74.4285	55.245
0.5X	CASTER-site	AC|BD	74	55.5926	76.6547	52.6963
0.5X	CASTER-site	AC|BD	75	53.4041	75.6181	56.9486
0.5X	CASTER-site	AC|BD	76	54.8294	77.4678	51.9734
0.5X	CASTER-site	AC|BD	77	56.1219	73.7947	55.5019
0.5X	CASTER-site	AC|BD	78	57.5683	74.4481	56.2256
0.5X	CASTER-site	AC|BD	79	54.0339	72.9066	56.0504
0.5X	CASTER-site	AC|BD	80	57.8828	76.1636	53.1983
0.5X	CASTER-site	AC|BD	81	55.8293	76.6851	57.7992
0.5X	CASTER-site	AC|BD	82	55.7339	76.5618	55.6128
0.5X	CASTER-site	AC|BD	83	54.9106	74.6602	54.8475
0.5X	CASTER-site	AC|BD	84	56.5608	74.7398	53.4857
0.5X	CASTER-site	AC|BD	85	54.3181	74.5622	55.239
0.5X	CASTER-site	AC|BD	86	52.9736	74.5727	55.5849
0.5X	CASTER-site	AC|BD	87	56.1933	77.6131	53.7289
0.5X	CASTER-site	AC|BD	88	55.5729	74.6147	55.9745
0.5X	CASTER-site	AC|BD	89	53.6049	71.0429	54.5551
0.5X	CASTER-site	AC|BD	90	55.823	76.3172	52.5586
0.5X	CASTER-site	AC|BD	91	53.5306	73.4158	55.2348
0.5X	CASTER-site	AC|BD	92	55.2419	71.8807	53.9873
0.5X	CASTER-site	AC|BD	93	53.5598	74.0437	53.0456
0.5X	CASTER-site	AC|BD	94	56.3428	74.8498	51.9595
0.5X	CASTER-site	AC|BD	95	54.3178	74.2087	56.1775
0.5X	CASTER-site	AC|BD	96	54.989	75.3858	55.8397
0.5X	CASTER-site	AC|BD	97	54.8058	76.05	50.9313
0.5X	CASTER-site	AC|BD	98	56.7965	74.7641	57.485
0.5X	CASTER-site	AC|BD	99	53.1204	75.799	58.824
0.5X	CASTER-site	AC|BD	100	53.9855	76.818	54.2322
0.5X	CASTER-site	BC|AD	1	56.444	52.6708	78.8812
0.5X	CASTER-site	BC|AD	2	55.0349	53.7797	75.2686
0.5X	CASTER-site	BC|AD	3	55.8746	56.6183	78.5384
0.5X	CASTER-site	BC|AD	4	53.7304	56.9727	74.005
0.5X	CASTER-site	BC|AD	5	56.2541	57.3289	74.7302
0.5X	CASTER-site	BC|AD	6	55.3494	57.524	70.8661
0.5X	CASTER-site	BC|AD	7	58.1042	55.2418	74.0538
0.5X	CASTER-site	BC|AD	8	55.5614	56.1151	75.9838
0.5X	CASTER-site	BC|AD	9	52.9734	54.0387	71.5531
0.5X	CASTER-site	BC|AD	10	53.1533	54.1183	71.5451
0.5X	CASTER-site	BC|AD	11	55.6242	55.9327	75.3514
0.5X	CASTER-site	BC|AD	12	57.0369	55.8261	73.5001
0.5X	CASTER-site	BC|AD	13	54.6785	54.6382	72.3601
0.5X	CASTER-site	BC|AD	14	55.1271	56.6008	72.1824
0.5X	CASTER-site	BC|AD	15	54.6891	53.3524	73.6824
0.5X	CASTER-site	BC|AD	16	57.5589	58.8892	77.1172
0.5X	CASTER-site	BC|AD	17	59.223	56.9238	71.5378
0.5X	CASTER-site	BC|AD	18	56.2038	54.9282	74.1166
0.5X	CASTER-site	BC|AD	19	57.9086	56.2349	74.1881
0.5X	CASTER-site	BC|AD	20	56.0055	57.3483	71.2541
0.5X	CASTER-site	BC|AD	21	56.0394	56.0721	75.0898
0.5X	CASTER-site	BC|AD	22	54.7516	58.7573	76.6204
0.5X	CASTER-site	BC|AD	23	56.3675	53.1132	75.7414
0.5X	CASTER-site	BC|AD	24	56.0089	54.413	73.982
0.5X	CASTER-site	BC|AD	25	56.2209	56.2488	75.9834
0.5X	CASTER-site	BC|AD	26	55.0395	52.1606	76.4473
0.5X	CASTER-site	BC|AD	27	56.5574	56.4847	74.7403
0.5X	CASTER-site	BC|AD	28	57.9962	54.3785	72.2358
0.5X	CASTER-site	BC|AD	29	61.8405	56.888	75.9382
0.5X	CASTER-site	BC|AD	30	57.5379	56.7785	71.8958
0.5X	CASTER-site	BC|AD	31	57.4137	55.5265	71.5453
0.5X	CASTER-site	BC|AD	32	56.6589	58.0283	72.5192
0.5X	CASTER-site	BC|AD	33	53.945	51.8459	71.5958
0.5X	CASTER-site	BC|AD	34	52.7147	60.1375	72.3809
0.5X	CASTER-site	BC|AD	35	54.8481	53.6053	74.6979
0.5X	CASTER-site	BC|AD	36	54.6619	54.4091	72.2519
0.5X	CASTER-site	BC|AD	37	52.8818	58.8461	78.3193
0.5X	CASTER-site	BC|AD	38	54.0641	56.008	78.5274
0.5X	CASTER-site	BC|AD	39	57.424	58.3608	71.5208
0.5X	CASTER-site	BC|AD	40	55.2297	54.7273	77.1281
0.5X	CASTER-site	BC|AD	41	54.0526	57.1427	73.5274
0.5X	CASTER-site	BC|AD	42	56.5794	56.2398	73.7178
0.5X	CASTER-site	BC|AD	43	57.9098	55.854	71.0524
0.5X	CASTER-site	BC|AD	44	55.0956	54.4102	72.7404
0.5X	CASTER-site	BC|AD	45	56.9545	54.3865	73.4158
0.5X	CASTER-site	BC|AD	46	54.2495	53.7424	71.9756
0.5X	CASTER-site	BC|AD	47	57.3403	54.531	74.4179
0.5X	CASTER-site	BC|AD	48	55.2114	52.3583	73.3782
0.5X	CASTER-site	BC|AD	49	53.8232	55.3571	76.5731
0.5X	CASTER-site	BC|AD	50	54.0164	55.5143	75.5566
0.5X	CASTER-site	BC|AD	51	56.4718	57.0507	73.4882
0.5X	CASTER-site	BC|AD	52	57.8167	55.8648	75.9836
0.5X	CASTER-site	BC|AD	53	56.4225	58.483	71.6205
0.5X	CASTER-site	BC|AD	54	57.1409	56.0227	74.0218
0.5X	CASTER-site	BC|AD	55	56.7062	55.9692	73.1482
0.5X	CASTER-site	BC|AD	56	57.6835	57.4394	72.8306
0.5X	CASTER-site	BC|AD	57	53.9999	54.8539	73.6678
0.5X	CASTER-site	BC|AD	58	59.3592	53.2512	74.9256
0.5X	CASTER-site	BC|AD	59	55.427	54.8383	74.2815
0.5X	CASTER-site	BC|AD	60	59.0114	52.2597	76.2872
0.5X	CASTER-site	BC|AD	61	56.8592	56.3024	71.5221
0.5X	CASTER-site	BC|AD	62	55.242	59.9355	70.2474
0.5X	CASTER-site	BC|AD	63	56.7334	55.2637	71.1785
0.5X	CASTER-site	BC|AD	64	55.0136	56.3142	75.1945
0.5X	CASTER-site	BC|AD	65	55.2942	61.4555	69.4486
0.5X	CASTER-site	BC|AD	66	56.3542	55.4791	75.9837
0.5X	CASTER-site	BC|AD	67	57.153	53.8401	78.0984
0.5X	CASTER-site	BC|AD	68	55.8423	57.3568	74.4043
0.5X	CASTER-site	BC|AD	69	53.1063	57.4383	75.5407
0.5X	CASTER-site	BC|AD	70	56.2982	55.0793	77.9694
0.5X	CASTER-site	BC|AD	71	59.054	53.7624	69.7346
0.5X	CASTER-site	BC|AD	72	57.9292	56.9011	71.6801
0.5X	CASTER-site	BC|AD	73	52.4966	56.2832	76.2003
0.5X	CASTER-site	BC|AD	74	54.0059	53.7962	76.1897
0.5X	CASTER-site	BC|AD	75	59.1284	53.1347	76.6014
0.5X	CASTER-site	BC|AD	76	55.4719	54.0218	74.0983
0.5X	CASTER-site	BC|AD	77	55.0847	58.2246	75.2805
0.5X	CASTER-site	BC|AD	78	55.965	55.6787	77.029
0.5X	CASTER-site	BC|AD	79	54.9618	56.703	71.8746
0.5X	CASTER-site	BC|AD	80	51.4108	54.9153	73.1663
0.5X	CASTER-site	BC|AD	81	55.1257	52.918	75.9647
0.5X	CASTER-site	BC|AD	82	54.76	57.0216	74.58
0.5X	CASTER-site	BC|AD	83	54.2196	54.964	78.1231
0.5X	CASTER-site	BC|AD	84	51.5514	57.1986	70.3866
0.5X	CASTER-site	BC|AD	85	58.753	58.2539	70.5464
0.5X	CASTER-site	BC|AD	86	55.6819	56.4159	76.8125
0.5X	CASTER-site	BC|AD	87	54.7462	54.4258	70.1145
0.5X	CASTER-site	BC|AD	88	54.4993	54.9622	74.9683
0.5X	CASTER-site	BC|AD	89	54.6999	54.9331	75.0035
0.5X	CASTER-site	BC|AD	90	53.8569	51.6109	70.3626
0.5X	CASTER-site	BC|AD	91	58.1482	55.3413	72.5828
0.5X	CASTER-site	BC|AD	92	57.6548	58.5707	71.8819
0.5X	CASTER-site	BC|AD	93	57.2098	54.6692	73.7515
0.5X	CASTER-site	BC|AD	94	57.2645	59.2289	74.6935
0.5X	CASTER-site	BC|AD	95	58.9905	51.8766	72.5802
0.5X	CASTER-site	BC|AD	96	53.1075	57.0062	71.7483
0.5X	CASTER-site	BC|AD	97	56.4216	54.1111	69.7794
0.5X	CASTER-site	BC|AD	98	55.4597	57.6138	74.4537
0.5X	CASTER-site	BC|AD	99	58.1314	59.6742	73.2605
0.5X	CASTER-site	BC|AD	100	56.724	56.4665	73.353
1X	likelihood	AB|CD	1	1	1.53099E-46	8.18834E-73
1X	likelihood	AB|CD	2	1	2.37354E-28	3.03497E-67
1X	likelihood	AB|CD	3	1	7.01009E-57	8.25771E-84
1X	likelihood	AB|CD	4	1	5.27994E-46	6.98463E-73
1X	likelihood	AB|CD	5	1	4.52846E-28	2.7386E-64
1X	likelihood	AB|CD	6	1	1.07914E-96	1.1816E-116
1X	likelihood	AB|CD	7	1	9.50237E-71	5.05432E-91
1X	likelihood	AB|CD	8	1	1.61497E-86	3.7451E-117
1X	likelihood	AB|CD	9	1	4.3537E-106	3.5279E-114
1X	likelihood	AB|CD	10	1	4.87052E-67	1.60841E-91
1X	likelihood	AB|CD	11	0.999996051	3.94917E-06	7.35405E-50
1X	likelihood	AB|CD	12	1	7.25184E-50	2.20152E-84
1X	likelihood	AB|CD	13	1	1.31218E-61	2.76045E-81
1X	likelihood	AB|CD	14	1	3.19625E-82	2.5488E-107
1X	likelihood	AB|CD	15	1	3.37675E-46	2.73545E-74
1X	likelihood	AB|CD	16	1	7.19581E-47	8.79797E-59
1X	likelihood	AB|CD	17	1	8.61449E-64	4.41238E-93
1X	likelihood	AB|CD	18	1	1.10579E-83	1.9202E-105
1X	likelihood	AB|CD	19	1	2.40987E-42	2.76018E-74
1X	likelihood	AB|CD	20	1	9.08425E-71	6.26653E-79
1X	likelihood	AB|CD	21	1	5.23804E-17	3.81656E-57
1X	likelihood	AB|CD	22	1	1.31597E-42	7.88093E-64
1X	likelihood	AB|CD	23	1	7.19941E-94	4.8268E-108
1X	likelihood	AB|CD	24	1	1.13432E-65	8.98372E-93
1X	likelihood	AB|CD	25	1	2.00371E-94	5.7061E-112
1X	likelihood	AB|CD	26	1	1.63692E-39	2.2543E-51
1X	likelihood	AB|CD	27	1	6.18138E-71	5.96293E-83
1X	likelihood	AB|CD	28	1	1.73737E-69	3.27531E-93
1X	likelihood	AB|CD	29	1	4.33768E-98	1.9365E-116
1X	likelihood	AB|CD	30	1	5.1793E-49	1.80708E-73
1X	likelihood	AB|CD	31	1	1.79474E-63	4.69106E-90
1X	likelihood	AB|CD	32	1	9.71333E-47	5.20243E-72
1X	likelihood	AB|CD	33	1	2.7515E-84	4.8969E-107
1X	likelihood	AB|CD	34	1	2.19231E-70	6.1488E-103
1X	likelihood	AB|CD	35	1	5.24897E-65	2.22473E-78
1X	likelihood	AB|CD	36	1	4.38314E-56	8.89414E-81
1X	likelihood	AB|CD	37	1	4.88578E-45	1.63879E-70
1X	likelihood	AB|CD	38	1	6.12671E-90	1.8098E-120
1X	likelihood	AB|CD	39	1	1.05192E-66	1.55373E-90
1X	likelihood	AB|CD	40	1	4.10184E-11	1.91603E-50
1X	likelihood	AB|CD	41	1	1.29966E-60	4.18421E-86
1X	likelihood	AB|CD	42	1	1.13267E-42	1.88335E-77
1X	likelihood	AB|CD	43	1	1.40144E-47	4.99504E-64
1X	likelihood	AB|CD	44	1	8.26044E-35	1.51564E-51
1X	likelihood	AB|CD	45	1	9.33157E-40	1.82235E-72
1X	likelihood	AB|CD	46	1	5.00733E-87	6.6661E-118
1X	likelihood	AB|CD	47	1	4.12091E-89	2.1378E-121
1X	likelihood	AB|CD	48	1	2.61637E-68	9.60063E-92
1X	likelihood	AB|CD	49	1	1.06662E-47	8.20814E-72
1X	likelihood	AB|CD	50	1	3.32379E-60	2.50771E-69
1X	likelihood	AB|CD	51	1	9.99882E-76	1.30051E-97
1X	likelihood	AB|CD	52	1	7.65461E-33	1.75522E-54
1X	likelihood	AB|CD	53	1	1.55991E-25	7.92313E-68
1X	likelihood	AB|CD	54	1	1.4186E-49	8.28799E-80
1X	likelihood	AB|CD	55	1	3.3685E-76	2.13166E-87
1X	likelihood	AB|CD	56	1	1.40187E-80	2.2165E-99
1X	likelihood	AB|CD	57	1	1.07751E-37	2.15951E-75
1X	likelihood	AB|CD	58	1	3.52921E-89	2.72074E-87
1X	likelihood	AB|CD	59	1	1.55423E-82	7.2932E-111
1X	likelihood	AB|CD	60	1	7.53952E-43	3.19986E-60
1X	likelihood	AB|CD	61	1	7.98193E-55	8.0948E-79
1X	likelihood	AB|CD	62	1	2.72407E-72	3.5532E-104
1X	likelihood	AB|CD	63	1	3.48203E-66	5.60732E-89
1X	likelihood	AB|CD	64	0.99999982	1.79696E-07	1.76872E-50
1X	likelihood	AB|CD	65	1	1.129E-45	1.95725E-71
1X	likelihood	AB|CD	66	1	1.0016E-54	2.74032E-89
1X	likelihood	AB|CD	67	1	9.81649E-36	2.37938E-51
1X	likelihood	AB|CD	68	1	9.9593E-100	1.2218E-127
1X	likelihood	AB|CD	69	1	7.18908E-83	5.9721E-101
1X	likelihood	AB|CD	70	1	4.38127E-98	3.3233E-111
1X	likelihood	AB|CD	71	1	5.99416E-68	1.10277E-92
1X	likelihood	AB|CD	72	1	1.31696E-45	3.188E-81
1X	likelihood	AB|CD	73	1	1.19711E-46	6.18783E-95
1X	likelihood	AB|CD	74	1	8.27716E-47	1.23579E-73
1X	likelihood	AB|CD	75	1	1.98698E-66	2.07417E-83
1X	likelihood	AB|CD	76	1	4.59925E-34	1.35998E-76
1X	likelihood	AB|CD	77	1	2.0148E-59	2.04538E-95
1X	likelihood	AB|CD	78	1	9.31541E-49	2.27916E-80
1X	likelihood	AB|CD	79	1	4.6017E-52	4.64305E-69
1X	likelihood	AB|CD	80	1	2.0963E-108	1.3683E-124
1X	likelihood	AB|CD	81	1	6.33746E-35	3.93087E-63
1X	likelihood	AB|CD	82	1	1.37509E-59	1.90962E-87
1X	likelihood	AB|CD	83	1	2.65797E-83	2.2421E-105
1X	likelihood	AB|CD	84	1	7.17625E-15	1.08369E-69
1X	likelihood	AB|CD	85	1	3.00765E-43	1.47865E-72
1X	likelihood	AB|CD	86	1	4.69865E-62	6.36448E-85
1X	likelihood	AB|CD	87	1	4.64438E-90	4.7205E-99
1X	likelihood	AB|CD	88	1	3.29524E-35	2.03321E-66
1X	likelihood	AB|CD	89	1	4.36992E-44	1.90799E-77
1X	likelihood	AB|CD	90	1	6.31599E-48	1.16161E-80
1X	likelihood	AB|CD	91	1	3.6401E-53	1.82115E-76
1X	likelihood	AB|CD	92	1	2.32612E-67	1.72373E-88
1X	likelihood	AB|CD	93	1	7.96251E-44	2.76921E-83
1X	likelihood	AB|CD	94	1	1.54125E-54	1.28666E-77
1X	likelihood	AB|CD	95	1	1.2475E-31	5.06078E-59
1X	likelihood	AB|CD	96	1	3.83533E-50	1.33295E-81
1X	likelihood	AB|CD	97	1	4.59045E-82	3.9913E-113
1X	likelihood	AB|CD	98	1	1.70409E-65	1.01222E-84
1X	likelihood	AB|CD	99	1	6.429E-39	2.96271E-60
1X	likelihood	AB|CD	100	1	2.1311E-78	8.2898E-106
1X	likelihood	AC|BD	1	4.14355E-30	1	1.56603E-71
1X	likelihood	AC|BD	2	1.77316E-56	1	1.37126E-85
1X	likelihood	AC|BD	3	1.43388E-28	1	1.1874E-56
1X	likelihood	AC|BD	4	1.18336E-16	1	3.63263E-70
1X	likelihood	AC|BD	5	1.32129E-13	1	5.45668E-51
1X	likelihood	AC|BD	6	9.57544E-67	1	7.113E-99
1X	likelihood	AC|BD	7	8.94005E-71	1	5.75655E-98
1X	likelihood	AC|BD	8	0.999999993	6.78874E-09	7.22358E-57
1X	likelihood	AC|BD	9	2.46673E-34	1	1.89704E-74
1X	likelihood	AC|BD	10	0.000291261	0.999708739	5.24108E-39
1X	likelihood	AC|BD	11	3.81334E-06	0.999996187	4.88503E-55
1X	likelihood	AC|BD	12	6.18961E-22	1	4.03609E-62
1X	likelihood	AC|BD	13	1	3.76383E-11	5.68366E-54
1X	likelihood	AC|BD	14	2.8395E-25	1	6.73142E-68
1X	likelihood	AC|BD	15	8.52035E-23	1	3.17399E-41
1X	likelihood	AC|BD	16	6.62014E-19	1	1.40791E-60
1X	likelihood	AC|BD	17	3.397E-05	0.99996603	6.05555E-53
1X	likelihood	AC|BD	18	0.999832272	0.000167728	1.09839E-53
1X	likelihood	AC|BD	19	4.78405E-21	1	7.39794E-67
1X	likelihood	AC|BD	20	3.9052E-33	1	8.95709E-64
1X	likelihood	AC|BD	21	6.13474E-29	1	9.89144E-49
1X	likelihood	AC|BD	22	7.40416E-24	1	1.04509E-60
1X	likelihood	AC|BD	23	8.23412E-21	1	3.37657E-63
1X	likelihood	AC|BD	24	3.39913E-59	1	3.15228E-72
1X	likelihood	AC|BD	25	9.87273E-15	1	1.08785E-67
1X	likelihood	AC|BD	26	2.08278E-20	1	1.90507E-59
1X	likelihood	AC|BD	27	8.0813E-30	1	8.51364E-49
1X	likelihood	AC|BD	28	9.13746E-28	1	3.31108E-62
1X	likelihood	AC|BD	29	4.46527E-45	1	6.88752E-73
1X	likelihood	AC|BD	30	4.2522E-11	1	2.90065E-58
1X	likelihood	AC|BD	31	1.0328E-62	1	1.07293E-81
1X	likelihood	AC|BD	32	1.59695E-07	0.99999984	2.08357E-48
1X	likelihood	AC|BD	33	1.0872E-13	1	7.56419E-52
1X	likelihood	AC|BD	34	9.14232E-46	1	5.62459E-84
1X	likelihood	AC|BD	35	6.89369E-13	1	1.11278E-63
1X	likelihood	AC|BD	36	1.89428E-51	1	6.71076E-73
1X	likelihood	AC|BD	37	3.17865E-23	1	5.37738E-67
1X	likelihood	AC|BD	38	0.005737373	0.994262627	4.71935E-52
1X	likelihood	AC|BD	39	1.83885E-31	1	2.33641E-66
1X	likelihood	AC|BD	40	1.87165E-39	1	1.00304E-65
1X	likelihood	AC|BD	41	8.59628E-45	1	7.23904E-88
1X	likelihood	AC|BD	42	7.11422E-07	0.999999289	4.06543E-59
1X	likelihood	AC|BD	43	0.835895475	0.164104525	1.2029E-41
1X	likelihood	AC|BD	44	3.36979E-10	1	1.02036E-43
1X	likelihood	AC|BD	45	0.934746763	0.065253237	5.28628E-54
1X	likelihood	AC|BD	46	7.9917E-40	1	5.87216E-79
1X	likelihood	AC|BD	47	2.37157E-30	1	3.20047E-74
1X	likelihood	AC|BD	48	1.15428E-35	1	1.71811E-79
1X	likelihood	AC|BD	49	4.00589E-56	1	6.36171E-74
1X	likelihood	AC|BD	50	1.36467E-05	0.999986353	1.75285E-50
1X	likelihood	AC|BD	51	1.01389E-27	1	3.09203E-92
1X	likelihood	AC|BD	52	1.50523E-17	1	2.09805E-53
1X	likelihood	AC|BD	53	1.98166E-58	1	2.86051E-94
1X	likelihood	AC|BD	54	9.39123E-15	1	7.41441E-52
1X	likelihood	AC|BD	55	9.35922E-16	1	7.73187E-57
1X	likelihood	AC|BD	56	0.999999979	2.05995E-08	3.75938E-50
1X	likelihood	AC|BD	57	0.324975323	0.675024677	2.13703E-52
1X	likelihood	AC|BD	58	4.13654E-63	1	6.27907E-79
1X	likelihood	AC|BD	59	2.52665E-34	1	3.20415E-64
1X	likelihood	AC|BD	60	1	2.2386E-10	3.37765E-55
1X	likelihood	AC|BD	61	0.000151769	0.999848231	1.15028E-43
1X	likelihood	AC|BD	62	0.999999989	1.06044E-08	6.41629E-51
1X	likelihood	AC|BD	63	2.13816E-17	1	2.04475E-62
1X	likelihood	AC|BD	64	5.39125E-15	1	3.50232E-52
1X	likelihood	AC|BD	65	1.83043E-30	1	1.40921E-65
1X	likelihood	AC|BD	66	1.64548E-65	1	3.03875E-64
1X	likelihood	AC|BD	67	1	1.13157E-13	1.90698E-59
1X	likelihood	AC|BD	68	1.59278E-35	1	1.36633E-72
1X	likelihood	AC|BD	69	1.54736E-30	1	3.56312E-78
1X	likelihood	AC|BD	70	4.73126E-14	1	1.33498E-46
1X	likelihood	AC|BD	71	3.81697E-23	1	1.46415E-62
1X	likelihood	AC|BD	72	3.38996E-39	1	4.80174E-82
1X	likelihood	AC|BD	73	0.999976323	2.36766E-05	3.60862E-57
1X	likelihood	AC|BD	74	6.04032E-23	1	3.79252E-65
1X	likelihood	AC|BD	75	4.73539E-36	1	1.48511E-88
1X	likelihood	AC|BD	76	4.41783E-37	1	5.38958E-76
1X	likelihood	AC|BD	77	6.38171E-11	1	8.62339E-35
1X	likelihood	AC|BD	78	3.07468E-67	1	1.82817E-86
1X	likelihood	AC|BD	79	2.34346E-25	1	5.17864E-71
1X	likelihood	AC|BD	80	3.88348E-85	1	5.2974E-120
1X	likelihood	AC|BD	81	3.30193E-06	0.999996698	6.40938E-56
1X	likelihood	AC|BD	82	4.62186E-27	1	5.55035E-63
1X	likelihood	AC|BD	83	3.0896E-24	1	1.27367E-87
1X	likelihood	AC|BD	84	2.88333E-17	1	4.38323E-68
1X	likelihood	AC|BD	85	1.32955E-51	1	1.10442E-86
1X	likelihood	AC|BD	86	8.06687E-56	1	8.05854E-85
1X	likelihood	AC|BD	87	2.61047E-18	1	2.79725E-78
1X	likelihood	AC|BD	88	2.05938E-40	1	1.58007E-76
1X	likelihood	AC|BD	89	2.92274E-59	1	1.91615E-86
1X	likelihood	AC|BD	90	1.27698E-47	1	6.258E-63
1X	likelihood	AC|BD	91	1	1.90032E-12	1.39561E-45
1X	likelihood	AC|BD	92	2.1098E-54	1	7.5E-87
1X	likelihood	AC|BD	93	4.13637E-39	1	8.6847E-83
1X	likelihood	AC|BD	94	1.82732E-10	1	5.63166E-40
